ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
2IN4,small_airport,Scott Field,810,NA,US,US-IN,Argos,2IN4,,2IN4,"-86.189697265625, 41.25669860839844"
2IN5,small_airport,Midkiff Airport,1038,NA,US,US-IN,Sulphur Springs,2IN5,,2IN5,"-85.472900390625, 40.015201568603516"
2IN6,small_airport,Galloway Airport,830,NA,US,US-IN,Noblesville,2IN6,,2IN6,"-85.91690063476562, 40.041900634765625"
2IN7,heliport,Columbus Regional Hospital Heliport,632,NA,US,US-IN,Columbus,2IN7,,2IN7,"-85.8949966430664, 39.21839904785156"
2IN8,heliport,Franciscan Health Crown Point Heliport,758,NA,US,US-IN,Crown Point,2IN8,,2IN8,"-87.365448, 41.393527"
2IN9,small_airport,Berry Field,795,NA,US,US-IN,New Whiteland,2IN9,,2IN9,"-86.11810302734375, 39.56669998168945"
2IS1,heliport,Proctor Hospital Heliport,640,NA,US,US-IL,Peoria,2IS1,,2IS1,"-89.5944976807, 40.75059890749999"
2IS3,small_airport,Jackson Field,760,NA,US,US-IL,Elmira,2IS3,,2IS3,"-89.80680084228516, 41.17169952392578"
2IS4,small_airport,Ritter Field,552,NA,US,US-IL,Illinois City,2IS4,,2IS4,"-91.01319885253906, 41.33700180053711"
2IS5,closed,Parrish RLA Restricted Landing Area,640,NA,US,US-IL,Lacon,,,,"-89.407896, 40.952301"
2IS6,small_airport,Red Shed Field,900,NA,US,US-IL,Lena,2IS6,,2IS6,"-89.82260131835938, 42.41809844970703"
2IS7,small_airport,Somers Blossom Airport,789,NA,US,US-IL,Lindenwood,2IS7,,2IS7,"-89.00340270996094, 42.06060028076172"
2IS9,small_airport,Schertz Aerial Service - Cooksville Airport,741,NA,US,US-IL,Cooksville,2IS9,,2IS9,"-88.7078018188, 40.5780982971"
2J0,small_airport,Wakulla County Airport,11,NA,US,US-FL,Panacea,2J0,,2J0,"-84.39540100097656, 29.989500045776367"
2J8,small_airport,Pierson Municipal Airport,63,NA,US,US-FL,Pierson,2J8,,2J8,"-81.45919799804688, 29.25"
2J9,small_airport,Quincy Municipal Airport,221,NA,US,US-FL,Quincy,2J9,,2J9,"-84.55740356445312, 30.597900390625"
2JY2,heliport,Mattix Run Heliport,35,NA,US,US-NJ,Galloway,2JY2,,2JY2,"-74.46720123291016, 39.48500061035156"
2JY3,heliport,Wm. B. Kessler Memorial Hospital Heliport,71,NA,US,US-NJ,Hammonton,2JY3,,2JY3,"-74.77279663085938, 39.63140106201172"
2JY4,closed,Arden Hill Heliport,492,NA,US,US-NY,Goshen,,,,"-74.322222, 41.390002"
2JY5,heliport,Jet Line South Heliport,45,NA,US,US-NJ,Cinnaminson,2JY5,,2JY5,"-74.97579956054688, 40.01580047607422"
2JY6,heliport,The Ridge At Backbrook Heliport,304,NA,US,US-NJ,Ringoes,2JY6,,2JY6,"-74.82472229, 40.445278167699996"
2JY7,balloonport,Alba Vineyard Balloonport,240,NA,US,US-NJ,Milford,2JY7,,2JY7,"-75.164167, 40.615689"
2JY9,heliport,Hargrove Heliport,23,NA,US,US-NJ,Camden,2JY9,,2JY9,"-75.10388946530001, 39.946388244599994"
2K0,small_airport,Piatt County Airport,740,NA,US,US-IL,Monticello,2K0,,2K0,"-88.55860137939453, 40.00529861450195"
2K1,small_airport,Pond Creek Municipal Airport,1061,NA,US,US-OK,Pond Creek,2K1,,2K1,"-97.80870056152344, 36.662498474121094"
2K2,small_airport,Air Park South Airport,1336,NA,US,US-MO,Ozark,2K2,,2K2,"-93.23429870605469, 37.05950164794922"
2K5,small_airport,Telida Airport,650,NA,US,US-AK,Telida,2K5,TLF,2K5,"-153.26899719238, 63.393901824951"
2K6,small_airport,Elk County Airport,1063,NA,US,US-KS,Moline,2K6,,2K6,"-96.27079772949219, 37.38059997558594"
2K8,small_airport,Argonia Municipal Airport,1275,NA,US,US-KS,Argonia,2K8,,2K8,"-97.76010131835938, 37.275001525878906"
2KL,small_airport,Sunrise Beach Airport,854,NA,US,US-TX,Sunrise Beach Village,2KL,,2KL,"-98.40859985351562, 30.598800659179688"
2KS0,small_airport,Rupp Airport,1000,NA,US,US-KS,Sedan,2KS0,,2KS0,"-96.07689666748047, 37.20669937133789"
2KS1,small_airport,Rush Airport,950,NA,US,US-KS,Severance,2KS1,,2KS1,"-95.2510986328125, 39.77439880371094"
2KS2,small_airport,Stuber Flying Ranch Airport,1200,NA,US,US-KS,Severy,2KS2,,2KS2,"-96.29060363769531, 37.655601501464844"
